,id,budget,popularity,revenue,title,vote_average,vote_count,director_id,year,month,day
0,43597,237000000,150,2787965087,Avatar,7.2,11800,4762,2009,Dec,Thursday
1,43598,300000000,139,961000000,Pirates of the Caribbean: At World's End,6.9,4500,4763,2007,May,Saturday
2,43599,245000000,107,880674609,Spectre,6.3,4466,4764,2015,Oct,Monday
3,43600,250000000,112,1084939099,The Dark Knight Rises,7.6,9106,4765,2012,Jul,Monday
5,43602,258000000,115,890871626,Spider-Man 3,5.9,3576,4767,2007,May,Tuesday
9,43606,250000000,155,873260194,Batman v Superman: Dawn of Justice,5.7,7004,4771,2016,Mar,Wednesday
10,43607,270000000,57,391081192,Superman Returns,5.4,1400,4772,2006,Jun,Wednesday
11,43608,200000000,107,586090727,Quantum of Solace,6.1,2965,4773,2008,Oct,Thursday
12,43609,200000000,145,1065659812,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,4763,2006,Jun,Tuesday
13,43610,255000000,49,89289910,The Lone Ranger,5.9,2311,4763,2013,Jul,Wednesday
14,43611,225000000,99,662845518,Man of Steel,6.5,6359,4771,2013,Jun,Wednesday
15,43612,225000000,53,419651413,The Chronicles of Narnia: Prince Caspian,6.3,1630,4774,2008,May,Thursday
17,43614,380000000,135,1045713802,Pirates of the Caribbean: On Stranger Tides,6.4,4948,4775,2011,May,Saturday
18,43615,225000000,52,624026776,Men in Black 3,6.2,4160,4776,2012,May,Wednesday
19,43616,250000000,120,956019788,The Hobbit: The Battle of the Five Armies,7.1,4760,4777,2014,Dec,Wednesday
21,43618,200000000,37,310669540,Robin Hood,6.2,1398,4779,2010,May,Wednesday
22,43619,250000000,94,958400000,The Hobbit: The Desolation of Smaug,7.6,4524,4777,2013,Dec,Wednesday
23,43620,180000000,42,372234864,The Golden Compass,5.8,1303,4780,2007,Dec,Tuesday
24,43621,207000000,61,550000000,King Kong,6.6,2337,4777,2005,Dec,Wednesday
25,43622,200000000,100,1845034188,Titanic,7.5,7562,4762,1997,Nov,Tuesday
27,43624,209000000,64,303025485,Battleship,5.5,2114,4782,2012,Apr,Wednesday
29,43626,200000000,93,1108561013,Skyfall,6.9,7604,4764,2012,Oct,Thursday
30,43627,200000000,35,783766341,Spider-Man 2,6.7,4321,4767,2004,Jun,Friday
32,43629,200000000,78,1025491110,Alice in Wonderland,6.4,4645,4785,2010,Mar,Wednesday
33,43630,210000000,3,459359555,X-Men: The Last Stand,6.3,3525,4786,2006,May,Wednesday
35,43632,150000000,21,836297228,Transformers: Revenge of the Fallen,6.0,3138,4788,2009,Jun,Friday
36,43633,210000000,116,1091405097,Transformers: Age of Extinction,5.8,3095,4788,2014,Jun,Wednesday
37,43634,200000000,46,491868548,Oz: The Great and Powerful,5.7,3530,4767,2013,Mar,Thursday
41,43638,200000000,51,219851172,Green Lantern,5.1,2487,4791,2011,Jun,Thursday
43,43640,200000000,71,371353001,Terminator Salvation,5.9,2463,4793,2009,May,Wednesday
44,43641,190000000,102,1506249360,Furious 7,7.3,4176,4794,2015,Apr,Wednesday
45,43642,200000000,81,531865000,World War Z,6.7,5560,4773,2013,Jun,Thursday
46,43643,250000000,118,747862775,X-Men: Days of Future Past,7.5,6032,4772,2014,May,Thursday
48,43645,195000000,43,197687603,Jack the Giant Slayer,5.5,2598,4772,2013,Feb,Wednesday
50,43647,150000000,62,335154643,Prince of Persia: The Sands of Time,6.2,2317,4797,2010,May,Wednesday
51,43648,180000000,56,407602906,Pacific Rim,6.7,4794,4798,2013,Jul,Thursday
52,43649,195000000,28,1123746996,Transformers: Dark of the Moon,6.1,3299,4788,2011,Jun,Tuesday
53,43650,185000000,75,786636033,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,4799,2008,May,Wednesday
