,director_name,id,gender
0,James Cameron,4762,Male
1,Gore Verbinski,4763,Male
2,Sam Mendes,4764,Male
3,Christopher Nolan,4765,Male
4,Andrew Stanton,4766,Male
5,Sam Raimi,4767,Male
6,Byron Howard,4768,Male
7,Joss Whedon,4769,Male
8,David Yates,4770,Male
9,Zack Snyder,4771,Male
10,Bryan Singer,4772,Male
11,Marc Forster,4773,Male
12,Andrew Adamson,4774,Male
13,Rob Marshall,4775,Male
14,Barry Sonnenfeld,4776,Male
15,Peter Jackson,4777,Male
16,Marc Webb,4778,Male
17,Ridley Scott,4779,Male
18,Chris Weitz,4780,
19,Anthony Russo,4781,Male
20,Peter Berg,4782,Male
21,Colin Trevorrow,4783,Male
22,Shane Black,4784,Male
23,Tim Burton,4785,Male
24,Brett Ratner,4786,Male
25,Dan Scanlon,4787,Male
26,Michael Bay,4788,Male
27,Joseph Kosinski,4789,Male
28,John Lasseter,4790,Male
29,Martin Campbell,4791,Male
30,Lee Unkrich,4792,Male
31,McG,4793,Male
32,James Wan,4794,Male
33,J.J. Abrams,4795,Male
34,Baz Luhrmann,4796,Male
35,Mike Newell,4797,Male
36,Guillermo del Toro,4798,Male
37,Steven Spielberg,4799,Male
38,Peter Sohn,4800,Male
39,Brenda Chapman,4801,Female
40,Justin Lin,4802,
41,Roland Emmerich,4803,Male
42,Robert Zemeckis,4804,Male
43,Lilly Wachowski,4805,Female
44,Pete Docter,4806,Male
45,Conrad Vernon,4807,Male
46,Jon Favreau,4808,Male
47,Martin Scorsese,4809,Male
48,Rob Cohen,4810,Male
49,David Ayer,4811,
50,Tom Shadyac,4812,Male
51,Doug Liman,4813,Male
52,Kevin Reynolds,4814,
53,Stephen Sommers,4815,Male
54,Rupert Sanders,4816,Male
55,Robert Stromberg,4817,
56,Matt Reeves,4818,Male
57,Roland Joffé,4819,
58,Carl Rinsch,4820,
59,Mike Mitchell,4821,Male
60,Brad Bird,4822,Male
61,Chris Williams,4823,Male
62,Rich Moore,4824,Male
63,Chris Sanders,4825,Male
64,Jonathan Mostow,4826,Male
65,James Gunn,4827,Male
66,Hideaki Anno,4828,Male
67,David Fincher,4829,Male
68,Matthew Vaughn,4830,Male
69,Francis Lawrence,4831,Male
70,Jon Turteltaub,4832,Male
71,Wolfgang Petersen,4833,Male
72,James Bobin,4834,
73,Chris Miller,4835,Male
74,Duncan Jones,4836,Male
75,Alan Taylor,4837,Male
76,Michael Apted,4838,Male
77,Oliver Stone,4839,Male
78,Jan Pinkava,4840,Male
79,Eric Darnell,4841,Male
80,Shawn Levy,4842,Male
81,Gavin Hood,4843,Male
82,Chris Buck,4844,
83,George Miller,4845,Male
84,Ron Howard,4846,Male
85,Kenneth Branagh,4847,Male
86,Hoyt Yeatman,4848,
87,Jonathan Liebesman,4849,
88,Christopher McQuarrie,4850,
89,Joe Johnston,4851,Male
90,Steve Hickner,4852,Male
91,Jennifer Yuh Nelson,4853,Female
92,M. Night Shyamalan,4854,Male
93,Simon Wells,4855,Male
94,David Bowers,4856,Male
95,Joe Wright,4857,Male
96,Rob Minkoff,4858,Male
97,Lee Tamahori,4859,Male
98,Paul Feig,4860,Male
99,Peter Ramsey,4861,Male
100,Dean Parisot,4862,Male
101,Edward Zwick,4863,Male
102,Dean DeBlois,4864,Male
103,Alex Proyas,4865,Male
104,Richard Donner,4866,Male
105,Ang Lee,4867,Male
106,Jon M. Chu,4868,Male
107,Breck Eisner,4869,Male
108,Hironobu Sakaguchi,4870,
109,Peter Weir,4871,Male
110,Bill Condon,4872,Male
111,Louis Leterrier,4873,Male
112,Alejandro González Iñárritu,4874,Male
113,David Soren,4875,
114,Paul Greengrass,4876,Male
115,Mark Osborne,4877,Male
116,Peyton Reed,4878,Male
117,Tim Johnson,4879,Male
118,Phillip Noyce,4880,Male
119,Darren Aronofsky,4881,Male
120,Alfonso Cuarón,4882,Male
121,Ralph Zondag,4883,Male
122,Tom McGrath,4884,Male
123,Chris Columbus,4885,Male
124,Robert Schwentke,4886,Male
125,Carlos Saldanha,4887,Male
126,Guy Ritchie,4888,Male
127,Paul Verhoeven,4889,Male
128,John McTiernan,4890,
129,Tony Gilroy,4891,Male
130,Joel Schumacher,4892,Male
131,John Woo,4893,Male
132,Tim Story,4894,Male
133,Mark Steven Johnson,4895,Male
134,Neill Blomkamp,4896,Male
135,David Twohy,4897,
136,José Padilha,4898,Male
137,James L. Brooks,4899,Male
138,James Mangold,4900,Male
139,George Lucas,4901,Male
140,Thomas Langmann,4902,Male
141,Cedric Nicolas-Troyan,4903,
142,Roger Donaldson,4904,Male
143,Dave Green,4905,
144,Josh Trank,4906,Male
145,Brad Peyton,4907,Male
146,Roger Spottiswoode,4908,Male
147,Steven Soderbergh,4909,Male
148,Rob Letterman,4910,
149,Michel Gondry,4911,Male
150,Noam Murro,4912,
151,Raja Gosnell,4913,Male
152,Will Finn,4914,Male
153,Jan de Bont,4915,Male
154,Len Wiseman,4916,Male
155,Frank Coraci,4917,Male
156,Michael Mann,4918,Male
157,Bo Welch,4919,Male
158,Ron Clements,4920,Male
159,Peter Chelsom,4921,Male
160,Dominic Sena,4922,Male
161,Tony Scott,4923,Male
162,Paul Weitz,4924,Male
163,Adam McKay,4925,Male
164,Chuck Russell,4926,Male
165,Quentin Tarantino,4927,Male
166,Gary Trousdale,4928,Male
167,Mark Dindal,4929,Male
168,Simon West,4930,Male
169,Stefen Fangmeier,4931,
170,Spike Jonze,4932,Male
171,Chris Wedge,4933,Male
172,Florian Henckel von Donnersmarck,4934,Male
173,Peter Hyams,4935,Male
174,Tom Tykwer,4936,Male
175,Pitof,4937,Male
176,Brad Silberling,4938,
177,Patrick Hughes,4939,Male
178,Ericson Core,4940,Male
179,Lawrence Guterman,4941,
180,Ron Underwood,4942,Male
